name,flag,description,source,header,cfg,is_analysis
AddDiscriminatorsPass,-add-discriminators,Add DWARF path discriminators,lib/Transforms/Utils/AddDiscriminators.cpp,,False,False
AggressiveDCEPass,-adce,Aggressive Dead Code Elimination,lib/Transforms/Scalar/ADCE.cpp,,False,False
AggressiveInstCombinerPass,-aggressive-instcombine,Combine pattern based expressions,lib/Transforms/AggressiveInstCombine/AggressiveInstCombine.cpp,,False,False
AlignmentFromAssumptionsPass,-alignment-from-assumptions,Alignment from assumptions,lib/Transforms/Scalar/AlignmentFromAssumptions.cpp,,False,False
AlwaysInlinerLegacyPass,-always-inline,Inliner for always_inline functions,lib/Transforms/IPO/AlwaysInliner.cpp,,False,False
Annotation2MetadataLegacyPass,-annotation2metadata,Annotation2Metadata,lib/Transforms/IPO/Annotation2Metadata.cpp,,False,False
AnnotationRemarksLegacyPass,-annotation-remarks,Annotation Remarks,lib/Transforms/Scalar/AnnotationRemarks.cpp,,False,False
ArgumentPromotionPass,-argpromotion,Promote 'by reference' arguments to scalars,lib/Transforms/IPO/ArgumentPromotion.cpp,,False,False
AssumeSimplifyPass,-assume-simplify,Assume Simplify,lib/Transforms/Utils/AssumeBundleBuilder.cpp,,False,False
AttributorLegacyPass,-attributor,Deduce and propagate attributes,lib/Transforms/IPO/Attributor.cpp,,False,False
BarrierNoopPass,-barrier,A No-Op Barrier Pass,lib/Transforms/IPO/BarrierNoopPass.cpp,,False,False
BitTrackingDCEPass,-bdce,Bit-Tracking Dead Code Elimination,lib/Transforms/Scalar/BDCE.cpp,,False,False
BreakCriticalEdgesPass,-break-crit-edges,Break critical edges in CFG,lib/Transforms/Utils/BreakCriticalEdges.cpp,,False,False
CFGSimplificationPass,-simplifycfg,Simplify the CFG,lib/Transforms/Scalar/SimplifyCFGPass.cpp,,False,False
CGProfileLegacyPass,-cg-profile,Call Graph Profile,lib/Transforms/Instrumentation/CGProfile.cpp,,False,False
CallSiteSplittingPass,-callsite-splitting,Call-site splitting,lib/Transforms/Scalar/CallSiteSplitting.cpp,,False,False
CalledValuePropagationPass,-called-value-propagation,Called Value Propagation,lib/Transforms/IPO/CalledValuePropagation.cpp,,False,False
CanonicalizeAliasesPass,-canonicalize-aliases,Canonicalize aliases,lib/Transforms/Utils/CanonicalizeAliases.cpp,,False,False
CanonicalizeFreezeInLoopsPass,-canon-freeze,Canonicalize Freeze Instructions in Loops,lib/Transforms/Utils/CanonicalizeFreezeInLoops.cpp,,False,False
ConstantHoistingPass,-consthoist,Constant Hoisting,lib/Transforms/Scalar/ConstantHoisting.cpp,,False,False
ConstantMergePass,-constmerge,Merge Duplicate Global Constants,lib/Transforms/IPO/ConstantMerge.cpp,,False,False
ConstraintEliminationPass,-constraint-elimination,Constraint Elimination,lib/Transforms/Scalar/ConstraintElimination.cpp,,False,False
CoroCleanupLegacyPass,-coro-cleanup,Lower all coroutine related intrinsics,lib/Transforms/Coroutines/CoroCleanup.cpp,,False,False
CoroEarlyLegacyPass,-coro-early,Lower early coroutine intrinsics,lib/Transforms/Coroutines/CoroEarly.cpp,,False,False
CoroElideLegacyPass,-coro-elide,Coroutine frame allocation elision and indirect calls replacement,lib/Transforms/Coroutines/CoroElide.cpp,,False,False
CoroSplitLegacyPass,-coro-split,Split coroutine into a set of functions driving its state machine,lib/Transforms/Coroutines/CoroSplit.cpp,,False,False
CorrelatedValuePropagationPass,-correlated-propagation,Value Propagation,lib/Transforms/Scalar/CorrelatedValuePropagation.cpp,,False,False
CrossDSOCFIPass,-cross-dso-cfi,Cross-DSO CFI,lib/Transforms/IPO/CrossDSOCFI.cpp,,False,False
DFAJumpThreadingPass,-dfa-jump-threading,DFA Jump Threading,lib/Transforms/Scalar/DFAJumpThreading.cpp,,False,False
DataFlowSanitizerLegacyPassPass,-dfsan,DataFlowSanitizer: dynamic data flow analysis.,lib/Transforms/Instrumentation/DataFlowSanitizer.cpp,,False,False
DeadArgEliminationPass,-deadargelim,Dead Argument Elimination,lib/Transforms/IPO/DeadArgumentElimination.cpp,,False,False
DeadCodeEliminationPass,-dce,Dead Code Elimination,lib/Transforms/Scalar/DCE.cpp,,False,False
DeadStoreEliminationPass,-dse,Dead Store Elimination,lib/Transforms/Scalar/DeadStoreElimination.cpp,,False,False
DivRemPairsPass,-div-rem-pairs,Hoist/decompose integer division and remainder,lib/Transforms/Scalar/DivRemPairs.cpp,,False,False
EarlyCSEMemSSAPass,-early-cse-memssa,Early CSE w/ MemorySSA,lib/Transforms/Scalar/EarlyCSE.cpp,,False,False
EarlyCSEPass,-early-cse,Early CSE,lib/Transforms/Scalar/EarlyCSE.cpp,,False,False
EliminateAvailableExternallyPass,-elim-avail-extern,Eliminate Available Externally Globals,lib/Transforms/IPO/ElimAvailExtern.cpp,,False,False
EntryExitInstrumenterPass,-ee-instrument,Instrument function entry/exit with calls to e.g. mcount()(pre inlining),lib/Transforms/Utils/EntryExitInstrumenter.cpp,,False,False
FixIrreduciblePass,-fix-irreducible,Convert irreducible control-flow into natural loops,lib/Transforms/Utils/FixIrreducible.cpp,,False,False
FlattenCFGPass,-flattencfg,Flatten the CFG,lib/Transforms/Scalar/FlattenCFGPass.cpp,,False,False
Float2IntPass,-float2int,Float to int,lib/Transforms/Scalar/Float2Int.cpp,,False,False
FunctionInliningPass,-inline,Function Integration/Inlining,lib/Transforms/IPO/InlineSimple.cpp,,False,False
FunctionSpecializationPass,-function-specialization,Propagate constant arguments by specializing the function,lib/Transforms/IPO/SCCP.cpp,,False,False
GCOVProfilerPass,-insert-gcov-profiling,Insert instrumentation for GCOV profiling,lib/Transforms/Instrumentation/GCOVProfiling.cpp,,False,False
GVNHoistPass,-gvn-hoist,Early GVN Hoisting of Expressions,lib/Transforms/Scalar/GVNHoist.cpp,,False,False
GVNPass,-gvn,Global Value Numbering,lib/Transforms/Scalar/GVN.cpp,,False,False
